popularity_songs,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,followers,popularity_artists,Cluster,PCA1,PCA2
26,225573,0,0.631,0.433,7,-13.979,0,0.0844,0.227,0.0,0.255,0.91,152.415,3,1480038.0,72,0,0.5090590562578596,0.22674320847986645
19,155600,0,0.5,0.106,2,-18.436,0,0.0645,0.916,0.0,0.293,0.635,127.319,4,11.0,34,3,-2.410231856366105,0.28004521278985495
0,138800,0,0.688,0.336,4,-17.9,1,0.966,0.856,0.0,0.215,0.72,81.539,3,17413.0,55,1,-2.035025407319734,2.964507430328332
45,226142,0,0.727,0.872,1,-6.014,0,0.0281,0.456,0.00264,0.098,0.963,140.049,4,34084.0,39,0,2.189657212775484,0.0740950934136403
20,149827,0,0.709,0.667,0,-5.631,1,0.0302,0.452,0.0,0.292,0.834,134.916,4,97.0,13,0,1.4685517402326271,0.5358860404422493
28,69293,0,0.763,0.341,6,-17.895,1,0.965,0.772,0.0,0.395,0.428,67.12,3,79023.0,76,1,-2.334059457049901,3.449702521422325
4,72667,0,0.451,0.547,1,-8.569,0,0.0348,0.0459,0.654,0.0853,0.14,106.781,4,47249.0,43,2,-0.6179470443672767,-1.60850050433615
12,228650,0,0.691,0.77,4,-9.652,0,0.175,0.273,0.0,0.201,0.368,100.012,4,21230.0,37,0,0.6588249266251033,0.07220804644733211
19,210240,0,0.7,0.405,2,-10.069,0,0.0353,0.759,0.000126,0.177,0.304,112.038,4,29084.0,42,3,-0.8083268903969668,-0.18818014009134795
35,96720,0,0.615,0.175,8,-24.656,1,0.55,0.3,0.0,0.32,0.526,97.712,4,613060.0,90,1,-2.45796186381533,1.9039663962412274
37,287571,0,0.458,0.823,11,-5.161,1,0.0725,0.406,5.47e-05,0.206,0.695,183.922,4,419255.0,51,0,1.7380391533822197,-1.219082102902796
37,70360,0,0.66,0.448,2,-11.341,1,0.924,0.548,0.0,0.526,0.74,84.535,3,613060.0,90,1,-0.7505096544549777,3.3877686974492187
14,197120,0,0.51,0.514,5,-7.433,1,0.0382,0.144,8.07e-05,0.309,0.27,150.592,4,36549.0,44,0,0.42088968910787605,-0.9269531764698113
35,93320,0,0.707,0.598,0,-9.812,0,0.764,0.543,0.0,0.33,0.706,106.303,5,613060.0,90,1,0.03337895568739072,2.492844307103013
15,226627,0,0.575,0.535,2,-7.473,1,0.0237,0.11,1.38e-05,0.0947,0.666,81.198,4,486.0,24,0,0.7449402608722518,-0.2960558952293254
62,234955,0,0.707,0.774,6,-4.28,0,0.0484,0.405,0.0,0.613,0.506,140.012,4,248671.0,66,0,1.5149727173962042,0.37914279052960365
58,138838,0,0.902,0.853,7,-4.608,1,0.131,0.0494,4.98e-06,0.0717,0.882,148.059,4,125015.0,55,0,2.9820077326427716,0.7151173433533087
28,72011,0,0.659,0.274,6,-14.473,0,0.959,0.264,4.93e-06,0.266,0.545,81.875,4,79023.0,76,1,-1.3307715540659306,2.769206536617124
22,438898,0,0.31,0.99,10,-2.812,0,0.102,0.61,0.0209,0.949,0.557,173.402,3,360.0,26,0,1.557545784469428,-0.8267716962063714
36,111720,0,0.663,0.486,8,-11.645,1,0.943,0.637,0.0,0.311,0.664,141.921,4,613060.0,90,1,-0.49714785254460714,2.4138761614516433
35,60533,0,0.844,0.835,5,-7.526,0,0.0651,0.0559,0.0,0.147,0.967,118.978,4,13474.0,56,0,2.4291984474853385,1.2092514794066025
10,240627,0,0.768,0.535,9,-8.984,0,0.0528,0.306,0.00387,0.059,0.712,96.704,4,6937.0,40,0,0.792103710387185,0.1743408032779215
16,139760,0,0.671,0.215,5,-11.622,1,0.0669,0.994,0.276,0.184,0.647,122.351,3,20038.0,33,3,-1.5279543960426376,0.21368252922593367
50,248373,0,0.848,0.953,9,-5.04,1,0.0679,0.107,0.0,0.342,0.951,136.05,4,40610.0,50,0,3.073325759904919,0.7517998761293762
17,137907,0,0.717,0.457,11,-14.624,0,0.0648,0.432,0.0,0.15,0.882,97.41,4,56799.0,47,0,-0.07367028903344373,0.9427775790504023
15,232120,0,0.405,0.717,5,-7.953,1,0.151,0.0878,0.0,0.262,0.553,176.015,4,1254.0,20,0,1.2458592400781388,-1.0283147140344127
36,85893,0,0.647,0.611,1,-17.043,1,0.95,0.0364,0.0,0.326,0.426,86.453,4,613060.0,90,1,-0.6712349555959237,2.572209740169363
34,181267,0,0.385,0.66,9,-14.601,1,0.046,0.339,0.0,0.0756,0.97,168.26,4,10854.0,29,0,0.5920368067042002,-0.6971285129037477
38,190453,0,0.456,0.283,5,-11.088,1,0.203,0.856,0.0,0.0921,0.524,76.614,4,356.0,36,3,-1.7303964998140204,0.019697276793227043
22,240200,0,0.652,0.53,2,-12.574,0,0.0266,0.239,4.77e-05,0.194,0.84,113.655,4,714.0,33,0,0.5891572710906318,0.16145768461089266
22,268200,0,0.634,0.676,7,-8.679,1,0.0294,0.00934,0.0187,0.0777,0.877,147.39,4,52315.0,46,0,1.8885723288827718,-0.5564158465301795
47,266805,0,0.297,0.298,7,-11.66,1,0.0633,0.689,0.00434,0.127,0.147,169.169,4,75727.0,52,3,-1.5811034996521858,-2.0553408038435386
27,74050,0,0.773,0.582,6,-11.546,1,0.921,0.751,0.0,0.279,0.885,119.505,4,79023.0,76,1,-0.11363267491718754,3.1764691370690374
26,219973,0,0.586,0.939,4,-4.388,1,0.054,0.00284,5.27e-06,0.183,0.847,144.273,4,26169.0,39,0,2.7503705434362367,-0.382287512394779
30,62973,0,0.617,0.732,11,-9.289,1,0.707,0.864,3.01e-05,0.498,0.849,129.186,5,84951.0,73,1,0.1204793152967019,2.6114012255009977
20,67920,0,0.801,0.457,2,-5.759,1,0.0331,0.766,0.0,0.126,0.731,146.017,4,1057.0,19,0,0.6051839728263312,0.6446706631126639
41,236408,0,0.476,0.256,7,-6.859,1,0.0278,0.659,0.0,0.0838,0.434,137.056,4,55021.0,48,3,-0.670572851083014,-1.1495475928843375
28,92373,0,0.558,0.73,9,-10.627,1,0.924,0.327,0.0,0.251,0.522,99.55,3,23593.0,71,1,-0.048714608268744554,2.0736339082314146
51,250979,0,0.712,0.637,1,-8.399,1,0.119,0.121,4.93e-05,0.113,0.398,115.981,4,1708353.0,74,0,0.9270940600441389,-0.3573000188121326
36,179573,0,0.786,0.801,0,-6.136,1,0.0456,0.101,0.0,0.118,0.711,107.281,4,19719.0,36,0,2.0177365872475845,0.3158097188833607
20,199817,0,0.842,0.455,10,-10.381,0,0.069,0.176,0.081,0.114,0.533,157.048,4,2343.0,20,0,0.817146349817616,-0.09559710807804424
28,259067,0,0.464,0.682,5,-2.197,1,0.0332,0.206,0.0,0.141,0.768,150.697,3,13616.0,33,0,1.9018750264066042,-1.0730560074351987
50,160591,0,0.603,0.265,11,-9.893,0,0.0335,0.844,0.0,0.0758,0.371,139.539,4,329524.0,59,3,-1.1304415391675742,-0.5520493226221389
31,231598,0,0.366,0.831,11,-4.64,1,0.0471,0.311,0.0,0.429,0.496,139.12,1,55781.0,41,0,1.1837036520785507,-0.8666064431644679
17,61360,0,0.692,0.608,7,-9.591,1,0.935,0.966,0.0,0.381,0.716,88.187,5,8150.0,48,1,-0.7337557903475149,3.2528774036578247
22,299867,0,0.712,0.544,7,-9.73,0,0.0329,0.417,1.1e-05,0.212,0.717,117.166,4,17446.0,40,0,0.661827590629117,-0.03232224149196065
17,231147,0,0.6,0.365,9,-8.355,1,0.0279,0.706,0.0,0.101,0.26,126.421,4,32426.0,32,3,-0.7486657066483087,-0.8789007324411786
0,197400,0,0.328,0.862,9,-3.316,1,0.0809,0.00741,8.79e-05,0.228,0.741,177.694,4,738.0,12,0,2.306426469287381,-1.2305718249055528
22,197880,0,0.629,0.217,0,-13.301,0,0.0354,0.923,0.0,0.1,0.302,131.066,4,7789.0,32,3,-1.781434846471262,-0.4911808955666973
5,256173,0,0.505,0.693,5,-10.246,1,0.0455,0.099,0.0,0.296,0.806,143.934,4,460.0,19,0,1.2876221717384808,-0.4094941877808344
0,181280,0,0.602,0.591,0,-7.208,1,0.0481,0.722,0.0486,0.328,0.817,110.461,4,31.0,14,0,0.37952257395779215,0.4628005883041647
31,240240,1,0.715,0.636,9,-13.189,0,0.101,0.571,0.556,0.106,0.791,80.029,4,100702.0,51,2,-0.34262104561087303,0.0021046801989906367
41,243387,0,0.513,0.716,4,-5.322,1,0.0292,0.00401,0.000648,0.0574,0.805,199.998,4,55954.0,42,0,2.381183976891497,-1.354118777174208
44,320480,0,0.642,0.939,7,-6.76,1,0.0468,0.4,0.000707,0.349,0.279,107.154,4,55083.0,39,0,1.1080119661983092,-0.5711651155968794
26,195267,0,0.78,0.898,8,-11.265,1,0.0306,0.537,0.616,0.358,0.961,144.882,4,20174.0,38,0,1.158768587881808,0.240203184999121
30,105973,0,0.627,0.673,0,-7.654,1,0.738,0.202,0.0,0.352,0.726,151.26,3,23593.0,71,1,1.0963230735446254,1.79043700604702
21,192293,0,0.419,0.163,7,-18.093,0,0.0388,0.962,0.903,0.099,0.078,91.56,4,1102.0,41,2,-4.07689519602055,-1.842011683256744
45,207907,0,0.495,0.228,9,-13.168,0,0.0903,0.601,0.0,0.256,0.541,171.151,5,101713.0,61,3,-0.981627162210319,-0.554678620709021
20,320567,0,0.614,0.622,2,-6.301,1,0.0267,0.744,8.51e-05,0.179,0.534,127.821,4,218565.0,53,0,0.4300200155540183,-0.7348702487012684
36,261040,0,0.352,0.7,1,-13.266,1,0.0439,0.0121,0.000843,0.164,0.793,185.034,4,38545.0,37,0,1.130734583045472,-1.3463275560447139
39,213130,0,0.636,0.523,1,-9.603,1,0.237,0.0336,0.0,0.141,0.332,161.977,4,11464.0,42,0,0.6732023814558928,-0.5321599409729945
26,68467,0,0.54,0.605,8,-7.201,1,0.103,0.55,1.43e-06,0.275,0.785,82.173,4,84951.0,73,0,0.2692324160253571,0.8767996221529061
12,235040,0,0.531,0.439,11,-7.872,1,0.0269,0.164,0.0455,0.103,0.137,139.024,4,47249.0,43,3,-0.016067349420606857,-1.5077856786475383
18,294800,0,0.462,0.506,4,-9.652,1,0.0382,0.0961,0.000959,0.101,0.176,142.28,4,107366.0,47,3,0.07446523499956223,-1.7847052188717483
21,209467,0,0.404,0.468,6,-10.249,1,0.0839,0.951,1.66e-06,0.231,0.93,67.929,4,38884.0,59,3,-0.9168429644266967,0.3755554554407305
11,259933,0,0.775,0.564,7,-11.298,1,0.0287,0.152,0.00354,0.0824,0.646,105.837,4,21574.0,44,0,0.8332221082865764,-0.018801363444576336
28,100920,0,0.533,0.829,5,-8.236,0,0.536,0.348,0.0,0.259,0.554,65.182,4,23593.0,71,1,0.346821015876767,1.4190343896787199
3,142617,0,0.543,0.32,0,-15.964,0,0.0352,0.296,0.174,0.121,0.134,101.556,4,886.0,11,3,-1.6969385357277202,-0.7684732388858384
7,207920,0,0.497,0.687,5,-10.48,0,0.0346,0.871,0.912,0.111,0.751,112.044,4,285.0,12,2,-0.8406773124748688,-1.2356933146096336
60,147692,1,0.831,0.601,4,-7.49,0,0.0599,0.361,2e-05,0.0915,0.198,103.967,4,397284.0,67,0,0.42284468466291514,0.024626855733477813
33,62729,0,0.741,0.311,0,-19.667,1,0.907,0.678,0.0,0.403,0.655,112.0,3,128057.0,82,1,-1.8807493014984322,3.276203471529905
26,161533,0,0.567,0.218,2,-15.599,1,0.0335,0.879,0.00102,0.107,0.442,105.932,4,16636.0,35,3,-2.059138690318475,-0.12983600175885412
3,170388,0,0.566,0.373,2,-12.947,0,0.029,0.759,0.0,0.079,0.727,175.336,3,818.0,21,3,-0.43778166554375075,-0.47556699542241637
23,241173,0,0.556,0.592,0,-7.18,1,0.0242,0.0379,0.00109,0.0677,0.451,82.989,4,9791.0,27,0,0.7103686813514989,-0.7499439951984542
19,236333,0,0.586,0.34,3,-19.36,0,0.04,0.222,0.00067,0.222,0.44,149.012,4,1554.0,30,3,-0.9339392371867543,-0.5149911648417637
1,176509,0,0.572,0.549,2,-6.961,1,0.193,0.793,0.0152,0.161,0.961,190.569,4,208.0,14,0,0.8539684828634656,0.04103829255726862
34,201773,0,0.525,0.69,11,-11.571,1,0.0283,0.00114,1.59e-05,0.333,0.345,122.894,4,1956.0,24,0,0.5325022728614883,-0.5492497525193245
17,188933,0,0.658,0.482,7,-11.188,1,0.0296,0.363,2.57e-06,0.0612,0.54,103.771,4,22255.0,54,3,-0.013969595071018142,-0.1772906022358068
31,201200,0,0.329,0.299,2,-8.488,1,0.0342,0.293,0.0,0.402,0.53,120.673,4,10208.0,36,3,-0.5251201419722088,-0.6385328643408285
24,202747,0,0.529,0.593,9,-9.358,0,0.0379,0.271,0.000357,0.125,0.397,96.78,4,1037.0,14,3,0.10305913001103116,-0.6220436042252603
45,247550,0,0.627,0.662,1,-5.451,0,0.0994,0.266,0.0,0.138,0.646,165.003,4,40942.0,44,0,1.5980313870974379,-0.6451174521237348
38,243107,0,0.737,0.657,10,-4.32,1,0.0264,0.0134,0.0,0.0492,0.553,95.042,4,2701496.0,84,0,1.6952503134078638,-0.34483495283140747
43,224240,0,0.632,0.646,11,-6.483,0,0.0447,0.713,0.0,0.139,0.828,85.941,4,19212.0,43,0,0.5883935777299766,0.26417739649077254
26,268253,0,0.709,0.48,5,-8.487,1,0.0275,0.34,0.0,0.101,0.737,100.045,4,16407.0,45,0,0.6595598574191268,-0.03671712369718423
11,318907,0,0.648,0.755,5,-12.825,1,0.036,0.584,0.025,0.0965,0.964,125.004,4,17092.0,33,0,0.8642043987171432,-0.16342017886559457
28,183000,0,0.829,0.901,11,-6.476,0,0.0471,0.0792,0.217,0.539,0.965,125.011,4,201.0,24,0,2.528445500561474,1.1374151823336087
11,154373,0,0.521,0.046,5,-16.69,1,0.132,0.737,0.873,0.0696,0.14,98.501,5,1454.0,18,2,-3.630645466569563,-1.3211299407986257
11,246037,0,0.673,0.92,9,-4.608,0,0.168,0.0232,3.61e-05,0.954,0.799,153.969,4,1602.0,36,0,2.6645994681769625,1.2881326259054375
61,216913,0,0.481,0.648,6,-8.779,0,0.17,0.41,0.742,0.102,0.111,134.144,4,54269.0,57,2,-0.7639024132033714,-1.9512310349228612
27,123507,0,0.358,0.585,11,-12.842,0,0.0293,0.0633,0.776,0.515,0.593,147.064,4,12045.0,36,2,-0.4084163602324922,-1.0253833888654524
54,205082,0,0.789,0.129,0,-21.127,1,0.0943,0.992,0.948,0.137,0.541,121.982,3,21185.0,62,2,-3.15539676346532,-0.35942812988796075
31,229000,0,0.796,0.646,0,-7.662,1,0.0309,0.367,3.68e-06,0.0911,0.656,123.958,4,42770.0,42,0,1.2418284148305783,0.013863165707334313
23,219005,0,0.671,0.688,1,-4.527,0,0.04,0.46,0.0,0.134,0.785,123.948,4,220426.0,51,0,1.4831773309737795,-0.069822423855001
41,303133,0,0.469,0.542,11,-7.536,1,0.0241,0.152,0.00078,0.107,0.261,81.3,4,74065.0,44,3,0.03781008053536254,-1.297558479921869
57,236500,0,0.642,0.553,2,-6.602,1,0.0289,0.389,0.00131,0.141,0.407,82.953,4,14606.0,44,0,0.26713570143341603,-0.34403436257079417
20,191473,0,0.634,0.562,0,-8.464,1,0.0347,0.731,0.0633,0.237,0.961,109.779,4,27136.0,44,0,0.4229997449492635,0.5144589222740176
24,204200,0,0.394,0.203,7,-10.638,0,0.0334,0.982,0.747,0.156,0.0548,73.61,3,3176.0,40,2,-3.303165125560794,-1.741557250362955
10,276600,0,0.658,0.833,8,-7.724,1,0.0715,0.171,6.51e-06,0.0416,0.729,120.561,4,375.0,18,0,1.7934434926798113,-0.46139553488306384
39,197650,0,0.414,0.18,0,-10.811,1,0.0281,0.82,0.00049,0.119,0.148,77.077,4,8999.0,43,3,-2.3669156827255735,-0.9022624717786204
20,273200,0,0.683,0.327,0,-16.873,1,0.0482,0.554,2.26e-06,0.197,0.318,101.979,4,4434582.0,73,3,-1.4449494495741084,-0.19233326286465816
